bedoel je? , do you mean
een beetje, a bit
daar, there
dik, fat - thick
eigenlijk, actually really
de etalage, shop window
het is geen gezicht, it's not a pretty sight
het haar, hair
de jongen, boy young man
de jurk, dress
kaal, bald
het kind, child
kort, short
Nou!, Well!
de pruik, wig(peruk)
de rok, skirt
de schoen, shoe
slecht, bad
te, too
tenminste, at least
veel, much-very-a lot
verschrikkelijk, terrible
versleten, worn out
de vrouw, woman
wat jammer! Helaas! , what a shame - too bad
weg, away - gone
Nee joh, not really
zo, so
